candidate,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50
Buttigieg,chip-31,country-28,new-27,year-25,america-24,people-23,youre-21,help-18,iowa-17,days-15,2020-15,please-15,americans-13,trump-13,support-13,defeat-12,lives-12,join-12,american-11,movement-11,time-11,build-11,campaign-11,service-10,era-10,way-10,plan-10,nation-10,invest-10,mayor-9,better-9,future-9,today-9,away-9,needs-9,hope-9,change-9,work-9,proud-9,ready-9,communities-8,members-8,working-8,going-8,back-8,come-8,building-7,begins-7,left-7,end-7
Warren,fight-55,people-37,ill-29,change-28,big-26,bankruptcy-23,families-23,fighting-23,new-21,everyone-21,build-18,country-18,plan-17,war-16,structural-16,opportunity-16,debt-16,disabilities-16,economy-14,student-14,iowa-13,time-13,climate-13,crisis-13,going-13,loan-13,ive-12,better-12,america-12,government-12,work-12,security-12,theyre-11,working-11,trump-11,grateful-11,back-11,know-11,campaign-11,community-10,american-10,donald-10,iran-10,care-10,disability-10,reckless-10,rights-9,corruption-9,call-9,cant-9
Bloomberg,trump-44,health-34,today-33,country-32,people-27,americans-24,care-24,jobs-21,campaign-21,ill-21,states-17,mayor-16,climate-16,work-16,plan-15,change-15,support-15,first-15,american-14,team-14,great-14,office-14,veterans-14,texas-13,time-13,day-13,fight-13,help-13,economy-12,state-12,ive-11,communities-11,new-11,heres-11,right-11,gun-10,everyone-10,national-10,take-10,good-9,making-9,better-9,years-9,trumps-9,cant-9,america-9,blue-8,defeat-8,violence-8,future-8
Biden,trump-57,donald-50,time-23,nation-22,country-21,american-19,take-19,people-19,climate-18,day-17,house-16,care-16,white-15,middle-15,ensure-15,help-15,years-14,everyone-13,administration-13,world-13,weve-12,cant-12,give-12,deserve-12,class-12,trumps-11,war-11,way-11,going-11,america-11,change-11,workers-11,year-10,better-10,future-10,want-10,beat-10,crisis-10,comes-10,de-10,back-10,soul-10,got-9,end-9,violence-9,iowa-9,iran-9,chip-9,right-9,health-9
Steyer,climate-43,trump-26,today-22,crisis-21,people-21,americans-18,going-16,change-16,economy-15,american-15,iowa-14,right-14,country-14,america-13,day-12,tour-11,candidates-9,city-9,priority-9,great-9,economic-9,join-9,world-9,justice-9,years-8,number-8,tom-8,donald-8,new-8,state-8,impeachment-8,trumps-8,early-8,time-8,clean-8,action-8,democracy-8,bus-8,family-7,save-7,tonight-7,team-7,happy-7,hes-7,plan-7,water-7,business-7,talk-7,take-7,states-7
Yang,new-23,iowa-23,time-16,today-15,birthday-14,campaign-14,day-12,andrew-11,lets-11,town-11,got-10,great-10,hampshire-10,people-10,hall-9,canvassing-9,cake-9,house-8,evelyn-7,way-7,going-7,know-7,better-6,want-6,see-6,tomorrow-6,volunteers-5,5-5,voters-5,everyone-5,happy-5,candidate-5,win-5,des-5,right-5,party-5,3rd-5,met-5,work-5,first-5,stop-4,supporters-4,hard-4,future-4,caucus-4,moines-4,tonight-4,think-4,voting-4,cant-4
Sanders,war-41,people-40,campaign-34,going-27,iowa-25,trump-24,country-22,live-21,movement-19,end-18,climate-18,join-18,new-17,time-17,fight-17,change-16,million-14,win-14,class-14,young-13,today-13,working-13,bernie-13,right-13,endless-13,health-13,care-12,help-12,against-11,system-10,stand-10,proud-10,5-9,americans-9,defeat-9,green-9,crisis-9,deal-9,planet-9,take-9,america-9,political-9,nation-9,fossil-9,public-9,year-8,stop-8,years-8,powerful-8,future-8
Klobuchar,county-55,iowa-51,people-38,new-31,big-26,today-25,trump-24,town-22,campaign-22,day-21,counties-20,time-19,win-19,country-19,2020-18,donald-17,great-17,year-16,99-15,come-15,first-15,want-14,hall-13,rural-13,america-13,good-12,ive-12,state-12,house-12,bus-12,go-11,join-11,morning-11,ill-11,going-10,hampshire-10,nh-10,work-10,help-10,ready-10,days-9,ticket-9,caucus-9,team-9,tour-9,everywhere-9,take-9,back-9,support-9,visited-8
Trump,iran-33,impeachment-25,american-20,house-16,democrats-15,senate-14,people-14,iranian-13,great-13,years-12,hoax-12,new-11,articles-11,soleimani-10,party-10,pelosi-10,time-9,killed-9,big-9,dems-9,military-9,resolution-8,history-8,world-8,said-8,national-7,back-7,nancy-7,congress-7,protesters-6,united-6,approval-6,rating-6,trial-6,read-6,today-6,state-6,want-6,news-6,republicans-6,hit-6,court-6,states-6,unfair-6,usa-6,best-6,democrat-6,republican-6,security-6,allowed-5
