candidate,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50
Biden,trump-50,donald-44,crisis-26,coronavirus-26,campaign-25,nation-24,american-23,people-21,take-20,health-20,country-19,care-18,today-17,time-15,families-15,white-14,response-14,moment-13,house-13,going-13,workers-13,live-12,defeat-12,leadership-12,help-12,day-11,world-11,know-11,vote-10,support-10,youre-9,everyone-9,times-9,watch-9,plan-9,protect-9,keep-9,win-9,ensure-9,public-9,stop-8,americans-8,better-8,working-8,put-8,restore-8,right-8,promise-8,made-8,stand-8
Sanders,people-40,health-35,crisis-33,country-32,care-31,coronavirus-25,live-18,workers-17,time-16,today-15,right-15,emergency-15,medical-14,fight-14,pandemic-13,economic-13,join-13,pm-13,justice-13,tonight-12,medicare-12,bernie-12,nation-12,support-12,leave-11,american-11,et-11,system-10,working-10,paid-10,trump-10,dont-10,biden-10,sick-10,tune-10,address-9,michigan-9,act-9,moment-9,vote-9,joe-9,voted-9,america-9,stand-9,got-8,guarantee-8,major-8,day-8,win-8,going-8
Trump,coronavirus-33,small-19,senate-18,american-17,working-17,people-16,help-16,businesses-15,workers-14,families-12,act-11,relief-11,great-10,response-10,republicans-8,provide-8,virus-8,national-8,stay-8,economy-7,good-7,leave-7,paid-7,15-7,work-7,first-7,against-6,protect-6,keep-6,part-6,strong-6,chinese-6,signed-6,best-6,fight-6,social-6,country-6,hands-5,spoke-5,united-5,americas-5,wait-5,local-5,chairman-5,new-5,everyone-5,today-5,medical-5,economic-5,day-5
