candidate,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50
Buttigieg,new-38,ready-26,iowa-25,american-24,people-23,youre-22,americans-22,time-21,win-21,movement-20,tonight-19,chip-19,hampshire-19,trump-17,future-15,moment-15,hope-15,weve-14,donald-13,today-13,politics-12,build-12,change-12,support-12,turn-11,country-11,campaign-11,days-10,defeat-10,caucus-10,bring-10,majority-10,join-10,come-10,better-9,going-9,go-9,believe-9,help-9,november-8,state-8,page-8,shot-8,lives-8,day-8,stage-8,take-8,lets-7,cant-7,bold-7
Warren,fight-50,people-38,trump-36,country-34,donald-28,government-28,big-27,movement-24,everyone-24,grassroots-21,fighting-20,gun-18,new-18,build-18,corruption-17,care-17,know-17,public-17,win-16,right-16,back-16,end-15,education-15,today-14,moment-14,hampshire-14,ill-14,ive-13,going-13,america-13,change-13,campaign-13,help-13,violence-12,want-12,time-12,put-12,structural-12,talk-12,got-11,hard-11,against-11,best-11,work-11,building-10,americans-10,billionaires-10,way-10,health-10,families-10
Bloomberg,trump-62,americans-30,gun-30,y-28,people-28,de-27,america-26,la-24,country-21,que-19,today-18,violence-17,fight-17,support-17,donald-16,el-16,los-15,en-15,campaign-13,trumps-13,doesnt-12,health-12,work-12,ill-12,honored-12,care-12,change-12,families-12,american-11,weve-11,ive-11,son-11,help-11,state-10,history-10,para-10,take-10,mayor-10,years-10,win-10,un-10,life-10,tonight-9,con-9,immigrants-9,latinos-9,hes-9,action-9,safety-9,cant-9
Biden,donald-57,trump-57,country-38,day-26,iowa-25,time-23,nation-23,help-21,today-20,take-20,care-18,health-17,head-17,years-16,new-16,days-15,lets-15,cant-15,house-15,big-15,work-15,american-14,trumps-14,white-14,beat-14,back-14,ive-13,caucus-13,weve-13,hampshire-13,ballot-13,four-13,theres-13,soul-13,people-13,america-12,end-11,night-11,fight-11,campaign-11,gun-10,everyone-10,state-10,primary-10,climate-10,ban-10,going-10,comes-10,chip-10,stand-10
Steyer,economy-37,trump-30,trumps-27,people-26,climate-21,americans-20,education-19,failed-19,take-17,right-16,care-14,health-14,american-13,plan-13,beat-13,support-13,black-12,win-12,going-12,change-12,america-11,work-11,pay-10,new-10,today-10,iowa-10,way-10,racism-10,communities-9,cant-9,corporations-9,justice-9,stop-8,democratic-8,end-8,years-8,donald-8,thing-8,government-8,fight-8,families-8,tax-8,reparations-7,voters-7,color-7,vote-7,time-7,dont-7,build-7,jobs-7
Yang,new-32,hampshire-24,andrew-19,tonight-19,vote-17,great-17,candidate-16,got-14,nh-13,event-13,time-12,iowa-11,day-11,people-11,today-10,lets-8,night-8,think-8,see-8,candidates-7,state-7,came-7,voting-7,going-7,right-7,campaign-7,presidential-7,ive-6,manchester-6,way-6,trump-6,keene-6,win-6,big-6,come-6,first-6,democratic-5,debate-5,town-5,hes-5,stage-5,go-5,country-5,hall-4,1-4,6-4,youre-4,concord-4,message-4,went-4
Sanders,people-50,iowa-39,campaign-37,country-32,movement-28,new-26,going-26,win-25,working-23,trump-23,hampshire-21,live-20,justice-19,today-18,join-18,stand-18,class-16,political-15,time-14,vote-13,transform-13,caucus-12,build-12,doors-12,system-11,help-11,million-10,defeat-10,donald-10,grassroots-10,care-10,bernie-10,proud-10,against-9,lets-9,america-9,change-9,fight-9,billionaire-9,workers-9,money-9,first-9,honored-9,days-8,rights-8,want-8,way-8,primary-8,disability-8,works-8
Klobuchar,new-51,people-42,iowa-39,hampshire-38,win-30,donald-27,country-27,trump-26,today-23,big-22,campaign-22,caucus-20,house-19,candidate-19,going-19,know-19,lets-18,join-18,team-17,day-16,dont-16,back-16,amy-15,bring-15,tonight-14,want-14,momentum-14,white-13,things-13,fight-13,defeat-12,surging-12,time-12,great-12,america-12,night-11,election-11,come-11,lead-11,youre-10,ive-10,bringing-10,endorsement-10,job-10,right-10,won-10,coalition-10,help-10,stop-9,trial-9
Trump,democrats-23,impeachment-21,great-21,new-18,hoax-15,iowa-13,america-13,nancy-12,people-12,joe-11,good-10,house-10,hampshire-10,dems-10,week-10,jobs-9,votes-9,republican-9,want-8,cant-8,vote-8,time-8,keep-8,party-8,romney-8,economy-7,russia-7,senator-7,going-7,big-7,democrat-7,pelosi-7,americans-6,american-6,west-6,virginia-6,today-6,dont-6,see-6,manchin-6,breaking-6,got-5,years-5,against-5,obama-5,black-5,pete-5,hes-5,primary-5,voted-5
