candidate,candidate-mentions,candidate-mentions,candidate-mentions,candidate-mentions,candidate-mentions,candidate-mentions,candidate-mentions,candidate-mentions,
Buttigieg,Trump-17,Warren-0,Bloomberg-0,Biden-0,Steyer-0,Yang-0,Sanders-0,Klobuchar-0
Warren,Trump-36,Buttigieg-0,Bloomberg-0,Biden-0,Steyer-0,Yang-0,Sanders-0,Klobuchar-0
Bloomberg,Trump-62,Buttigieg-0,Warren-0,Biden-0,Steyer-0,Yang-0,Sanders-0,Klobuchar-0
Biden,Trump-57,Sanders-1,Buttigieg-0,Warren-0,Bloomberg-0,Steyer-0,Yang-0,Klobuchar-0
Steyer,Trump-30,Biden-2,Warren-1,Bloomberg-1,Sanders-1,Buttigieg-0,Yang-0,Klobuchar-0
Yang,Trump-6,Warren-2,Buttigieg-1,Steyer-1,Sanders-1,Bloomberg-0,Biden-0,Klobuchar-0
Sanders,Trump-23,Buttigieg-2,Warren-0,Bloomberg-0,Biden-0,Steyer-0,Yang-0,Klobuchar-0
Klobuchar,Trump-26,Sanders-1,Buttigieg-0,Warren-0,Bloomberg-0,Biden-0,Steyer-0,Yang-0
Trump,Biden-4,Buttigieg-2,Bloomberg-1,Sanders-1,Warren-0,Steyer-0,Yang-0,Klobuchar-0
