candidate,candidate-mentions,candidate-mentions,candidate-mentions,candidate-mentions,candidate-mentions,candidate-mentions,
Buttigieg,Trump-29,Sanders-11,Bloomberg-1,Warren-0,Biden-0,Klobuchar-0
Warren,Trump-17,Bloomberg-13,Buttigieg-0,Biden-0,Sanders-0,Klobuchar-0
Bloomberg,Trump-57,Sanders-10,Buttigieg-0,Warren-0,Biden-0,Klobuchar-0
Biden,Trump-36,Sanders-6,Bloomberg-5,Buttigieg-0,Warren-0,Klobuchar-0
Sanders,Trump-33,Bloomberg-11,Biden-2,Buttigieg-0,Warren-0,Klobuchar-0
Klobuchar,Trump-38,Bloomberg-3,Warren-2,Sanders-1,Buttigieg-0,Biden-0
Trump,Sanders-17,Biden-5,Warren-3,Bloomberg-3,Buttigieg-1,Klobuchar-1
