candidate,We,I,Democrats,Republicans,Free,Climate,Impeachment,Ukraine,War,Health care,Americans
Warren,97,64,6,4,7,18,3,0,0,0,2
Biden,83,52,0,1,2,7,2,1,2,0,12
Booker,90,57,0,1,3,0,8,0,0,0,9	
Yang,25,39,1,0,0,0,0,0,0,0,0
Sanders,110,52,1,0,1,2,1,0,1,0,13
Harris,55,53,1,0,3,2,0,1,3,0,5
Gabbard,61,40,2,1,1,4,2,0,20,0,10
Castro,66,50,3,0,4,2,1,0,0,0,2
Klobuchar,58,59,0,3,0,3,0,3,3,0,9	
ORourke,108,37,2,5,2,1,4,0,6,0,13
Trump,0,1,0,0,3,0,10,4,0,0,0
