candidate,We,I,Democrats,Republicans,Free,Climate,Impeachment,Ukraine,War,Health care,Americans
Warren,77,60,0,1,5,11,0,1,2,0,9
Biden,112,63,1,2,1,12,1,0,4,0,12
Booker,91,47,0,1,1,2,1,0,3,0,11
Yang,38,45,1,0,1,0,1,0,0,0,2
Sanders,121,56,0,1,3,7,0,0,2,0,7
Harris,74,49,1,3,1,2,1,0,1,0,8
Gabbard,36,62,0,1,2,0,0,0,10,0,8
Castro,68,48,4,1,0,4,2,0,2,0,11
Klobuchar,86,63,4,5,1,5,7,6,0,0,10
ORourke,128,32,1,3,2,5,0,0,4,0,14
Trump,21,30,28,5,0,0,36,10,0,0,4
