candidate,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50
Buttigieg,country-23,south-20,american-18,today-17,america-17,bend-17,youre-16,people-16,americans-13,family-13,act-12,new-12,time-12,values-12,future-11,trump-11,care-11,build-11,hope-11,stand-11,health-11,rights-10,communities-10,plan-10,fight-10,help-10,economy-9,belonging-9,service-9,years-9,system-9,going-9,change-9,proud-9,defeat-8,era-8,everyone-8,iowa-8,way-8,chip-8,nation-8,democracy-8,know-8,work-8,come-8,power-8,first-8,ready-8,year-7,united-7
Warren,fight-48,people-30,change-29,families-27,everyone-26,corruption-25,working-24,work-23,time-22,big-22,government-21,fighting-21,administration-19,climate-19,plan-18,structural-17,economy-16,campaign-16,wealthy-15,trump-15,care-15,crisis-14,keep-14,going-14,america-14,new-13,dont-13,opportunity-13,wellconnected-13,got-12,grassroots-12,real-12,stand-12,workers-12,country-12,ill-12,billionaires-11,ready-11,ive-10,american-10,financial-10,great-10,build-10,grateful-10,jobs-10,states-10,united-9,theyre-9,take-9,debt-9
Biden,trump-45,donald-25,time-25,country-24,climate-22,american-21,ill-21,end-19,violence-19,day-19,change-17,take-16,today-15,house-14,world-14,nation-14,cant-13,care-13,class-13,middle-13,ensure-13,years-12,iowa-12,administration-12,gun-11,future-11,white-11,america-11,health-11,people-11,help-11,against-10,trumps-10,plan-10,give-10,going-10,action-10,leadership-10,fair-10,americans-9,rights-9,everyone-9,deserve-9,comes-9,work-9,come-9,public-9,better-8,way-8,keep-8
Steyer,climate-34,people-20,trump-19,impeachment-16,right-16,country-14,american-13,candidates-12,years-12,today-12,economy-11,want-11,time-11,world-11,americans-10,crisis-10,change-10,power-10,save-9,business-9,policy-8,democratic-8,city-8,donald-8,call-8,candidate-8,action-8,campaign-8,leading-7,voters-7,state-7,iowa-7,team-7,vote-7,priority-7,say-7,planet-7,states-7,america-7,office-7,justice-7,proud-7,reparations-6,young-6,thing-6,debate-6,election-6,economic-6,day-6,history-6
Yang,people-15,time-13,great-12,today-11,andrew-10,donate-10,new-9,campaign-9,first-9,year-8,debate-8,support-8,got-7,ive-7,followers-7,way-7,hes-7,candidate-7,2020-7,best-7,things-6,go-6,presidential-6,evelyn-5,everyone-5,iowa-5,happy-5,see-5,amazing-5,know-5,reach-5,1000-4,good-4,democratic-4,family-4,means-4,going-4,right-4,getting-4,coming-4,come-4,south-4,place-4,community-3,youre-3,check-3,campaigning-3,told-3,american-3,guy-3
Sanders,people-57,going-31,campaign-26,new-25,trump-25,health-23,live-18,stand-18,medicare-17,care-17,system-16,country-16,time-15,young-14,end-14,companies-14,insurance-14,win-14,working-13,defeat-12,today-12,deal-12,fight-12,against-11,save-11,movement-11,green-11,climate-11,dont-11,bernie-11,america-11,join-11,money-11,year-10,americans-10,cant-10,debt-10,change-10,want-9,iowa-9,greed-9,right-9,en-9,class-9,know-9,family-8,say-8,pass-8,planet-8,afford-8
Klobuchar,county-50,iowa-41,people-29,work-20,great-19,today-17,trump-17,big-17,time-16,america-15,day-14,rural-14,donald-14,good-13,campaign-13,ill-13,going-12,take-11,years-11,new-11,win-11,see-11,go-11,bus-11,know-11,family-10,debate-10,plan-10,country-10,counties-10,american-9,state-9,tour-9,senate-9,way-9,everyone-8,snow-8,team-8,means-8,back-8,2020-8,workers-8,first-8,public-8,minnesota-8,economic-8,strong-8,john-8,world-8,said-8
Trump,democrats-38,impeachment-32,senate-28,house-20,great-18,time-17,vote-15,trial-14,pelosi-14,dems-13,want-11,new-10,today-10,nancy-10,big-10,office-10,people-10,country-10,left-9,impeach-9,united-8,end-8,republicans-8,win-8,constitution-8,jeff-8,republican-8,fbi-7,deal-7,take-7,party-7,democrat-7,evidence-6,good-6,china-6,tried-6,media-6,radical-6,call-6,kevin-6,election-6,case-6,hoax-6,wrong-6,dont-6,bill-6,states-6,articles-6,van-6,trade-6
