candidate,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50
Buttigieg,president-33,today-20,make-20,country-20,south-20,i’m-18,like-17,plan-16,bend-16,american-15,future-15,stand-15,people-15,americans-14,care-14,new-13,america-13,health-13,act-12,better-12,era-12,trump-12,rights-11,nation-11,family-10,years-10,running-10,hope-10,work-10,proud-10,college-9,communities-9,donald-9,@petebuttigieg-9,fight-9,can-9,united-8,education-8,everyone-8,time-8,day-8,change-8,families-8,belonging-7,voting-7,opportunity-7,promise-7,take-7,go-7,im-7
Warren,fight-56,change-39,climate-29,im-29,big-27,people-27,time-25,fighting-25,families-24,everyone-21,working-21,structural-21,can-21,corruption-19,ill-19,plan-18,grassroots-17,trump-17,keep-17,workers-17,work-17,care-16,health-16,make-16,economy-15,ive-14,giant-14,government-14,communities-13,protect-13,crisis-13,grateful-13,i’m-13,democracy-13,fair-13,help-13,administration-12,campaign-12,like-12,got-11,end-11,rights-11,going-11,stand-11,alongside-11,family-10,system-10,donald-10,new-10,real-10
Biden,president-64,trump-49,donald-29,time-23,climate-23,american-22,it’s-22,day-22,country-22,violence-19,take-19,make-19,end-18,world-18,can-18,nation-16,get-16,today-15,change-15,i’ll-15,iowa-14,cannot-14,house-13,plan-13,care-13,middle-13,years-12,future-12,build-12,class-12,health-12,ensure-12,americans-11,against-11,administration-11,give-11,america-11,leadership-11,power-11,help-11,like-11,ill-11,white-10,chip-10,i’m-10,support-10,inclusive-10,gun-9,protect-9,deserve-9
Steyer,climate-31,trump-19,president-17,people-17,right-16,country-16,today-15,american-13,impeachment-13,crisis-13,years-11,i’m-11,can-11,americans-10,@tomsteyer-10,it’s-10,world-10,power-10,economy-9,want-9,early-9,time-9,take-9,congress-9,action-9,fight-9,get-9,like-9,candidates-8,save-8,campaign-8,policy-7,young-7,voters-7,city-7,team-7,call-7,thing-7,vote-7,day-7,important-7,national-7,states-7,change-7,office-7,workers-7,work-7,justice-7,proud-7,community-6
Yang,people-19,iowa-15,time-15,campaign-15,bus-14,today-12,see-12,yang-11,la-11,make-11,can-11,tour-10,evelyn-9,new-9,got-8,everyone-8,let’s-8,help-8,it’s-7,great-7,making-6,city-6,giving-6,debate-6,small-6,day-6,national-6,best-6,support-6,goal-6,like-6,andrew-5,tonight-5,students-5,part-5,big-5,i’m-5,country-5,first-5,year-4,democratic-4,better-4,family-4,million-4,local-4,donald-4,kids-4,glover-4,moms-4,hit-4
Sanders,people-49,health-29,campaign-29,care-27,going-27,trump-25,new-23,medicare-23,country-21,live-20,movement-19,president-18,stand-18,young-17,end-17,working-16,time-16,bernie-16,today-15,make-15,companies-14,insurance-14,join-14,climate-13,get-13,want-12,win-12,deal-12,class-12,can-12,system-11,fight-11,americans-10,against-10,doing-10,year-9,taking-9,save-9,iowa-9,green-9,take-9,government-9,corporate-9,justice-9,proud-9,rich-8,defeat-8,think-8,cant-8,say-8
Klobuchar,president-32,iowa-28,can-28,work-24,people-19,today-19,campaign-18,great-17,it’s-16,going-16,family-16,that’s-15,new-15,we’re-14,trump-13,win-13,i’m-13,americans-12,day-12,take-12,america-12,senate-12,big-12,get-12,snow-11,donald-11,plan-11,climate-11,see-11,go-11,morning-10,country-10,good-9,thanksgiving-9,state-9,house-9,time-9,i’ll-9,years-9,election-9,strong-9,john-9,county-9,help-9,w-8,american-8,things-8,make-8,workers-8,rural-8
Trump,impeachment-37,president-36,democrats-25,house-20,trump-20,vote-16,fbi-16,impeach-14,great-14,people-14,time-13,senate-12,pelosi-11,fisa-11,evidence-10,want-10,court-10,office-10,dems-10,party-9,republican-9,trial-8,total-8,democrat-8,know-8,like-8,can-8,horowitz-7,media-7,it’s-7,today-7,republicans-7,day-7,strong-7,said-7,left-6,united-6,american-6,against-6,carter-6,endorsement-6,history-6,record-6,going-6,comey-6,see-6,he’s-6,report-6,breaking-6,get-6
